index, memory.used [MiB], utilization.gpu [%]
5, 150724 MiB, 99 %
6, 150722 MiB, 99 %
7, 150714 MiB, 99 %
0, 150724 MiB, 99 %
1, 150730 MiB, 99 %
2, 150730 MiB, 99 %
3, 150730 MiB, 99 %
4, 150730 MiB, 99 %
5, 150730 MiB, 99 %
6, 150730 MiB, 99 %
7, 150722 MiB, 99 %
0, 150730 MiB, 94 %
1, 150738 MiB, 99 %
2, 150736 MiB, 99 %
3, 150736 MiB, 99 %
4, 150736 MiB, 98 %
5, 150736 MiB, 94 %
6, 150736 MiB, 95 %
7, 150728 MiB, 99 %
0, 150738 MiB, 100 %
1, 150746 MiB, 99 %
2, 150746 MiB, 95 %
3, 150746 MiB, 98 %
4, 150746 MiB, 99 %
5, 150744 MiB, 99 %
6, 150746 MiB, 99 %
7, 150738 MiB, 95 %
0, 150746 MiB, 97 %
1, 150752 MiB, 95 %
2, 150754 MiB, 99 %
3, 150752 MiB, 94 %
4, 150754 MiB, 99 %
5, 150754 MiB, 99 %
6, 150754 MiB, 96 %
7, 150744 MiB, 99 %
0, 150752 MiB, 99 %
1, 150758 MiB, 99 %
2, 150760 MiB, 99 %
3, 150758 MiB, 99 %
4, 150758 MiB, 99 %
5, 150758 MiB, 99 %
6, 150760 MiB, 99 %
7, 150750 MiB, 99 %
0, 150760 MiB, 93 %
1, 150766 MiB, 95 %
2, 150766 MiB, 94 %
3, 150766 MiB, 94 %
4, 150766 MiB, 99 %
5, 150766 MiB, 99 %
6, 150766 MiB, 99 %
7, 150758 MiB, 99 %
0, 150766 MiB, 94 %
1, 150772 MiB, 99 %
2, 150772 MiB, 99 %
3, 150774 MiB, 99 %
4, 150772 MiB, 99 %
5, 150772 MiB, 94 %
6, 150772 MiB, 94 %
7, 150764 MiB, 99 %
0, 150774 MiB, 99 %
1, 150780 MiB, 99 %
2, 150780 MiB, 99 %
3, 150782 MiB, 99 %
4, 150780 MiB, 99 %
5, 150780 MiB, 99 %
6, 150782 MiB, 99 %
7, 150774 MiB, 99 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 150776 MiB, 100 %
1, 150780 MiB, 100 %
2, 150782 MiB, 100 %
3, 150782 MiB, 100 %
4, 150780 MiB, 100 %
5, 150782 MiB, 100 %
6, 150782 MiB, 100 %
7, 150774 MiB, 100 %
0, 149762 MiB, 0 %
1, 149766 MiB, 0 %
2, 149768 MiB, 0 %
3, 149768 MiB, 0 %
4, 149766 MiB, 0 %
5, 149768 MiB, 0 %
6, 149768 MiB, 0 %
7, 149760 MiB, 0 %
0, 149762 MiB, 0 %
1, 1028 MiB, 0 %
2, 388 MiB, 0 %
3, 388 MiB, 0 %
4, 388 MiB, 0 %
5, 388 MiB, 0 %
6, 388 MiB, 0 %
7, 516 MiB, 0 %
0, 0 MiB, 0 %
1, 0 MiB, 0 %
2, 0 MiB, 0 %
3, 0 MiB, 0 %
4, 0 MiB, 0 %
5, 0 MiB, 0 %
6, 0 MiB, 0 %
7, 0 MiB, 0 %
