index, memory.used [MiB]
4, 132652 MiB
5, 132650 MiB
6, 132652 MiB
7, 132656 MiB
0, 132656 MiB
1, 132650 MiB
2, 132650 MiB
3, 132650 MiB
4, 132652 MiB
5, 132650 MiB
6, 132652 MiB
7, 132656 MiB
0, 132656 MiB
1, 132650 MiB
2, 132650 MiB
3, 132650 MiB
4, 132652 MiB
5, 132650 MiB
6, 132652 MiB
7, 132656 MiB
0, 132656 MiB
1, 132650 MiB
2, 132650 MiB
3, 132650 MiB
4, 132652 MiB
5, 132650 MiB
6, 132652 MiB
7, 132656 MiB
0, 132656 MiB
1, 132650 MiB
2, 132650 MiB
3, 132650 MiB
4, 132652 MiB
5, 132650 MiB
6, 132652 MiB
7, 132656 MiB
0, 159328 MiB
1, 159324 MiB
2, 159322 MiB
3, 159324 MiB
4, 159326 MiB
5, 159324 MiB
6, 159324 MiB
7, 159328 MiB
0, 159328 MiB
1, 159324 MiB
2, 159322 MiB
3, 159324 MiB
4, 159326 MiB
5, 159324 MiB
6, 159324 MiB
7, 159328 MiB
0, 159328 MiB
1, 159324 MiB
2, 159322 MiB
3, 159324 MiB
4, 159326 MiB
5, 159324 MiB
6, 159324 MiB
7, 159328 MiB
0, 159328 MiB
1, 159324 MiB
2, 159322 MiB
3, 159324 MiB
4, 159326 MiB
5, 159324 MiB
6, 159324 MiB
7, 159328 MiB
0, 159328 MiB
1, 159324 MiB
2, 159322 MiB
3, 159324 MiB
4, 159326 MiB
5, 159324 MiB
6, 159324 MiB
7, 159328 MiB
0, 159328 MiB
1, 159324 MiB
2, 159322 MiB
3, 159324 MiB
4, 159326 MiB
5, 159324 MiB
6, 159324 MiB
7, 159328 MiB
0, 159328 MiB
1, 159324 MiB
2, 159324 MiB
3, 159324 MiB
4, 159326 MiB
5, 159324 MiB
6, 159324 MiB
7, 159328 MiB
0, 47112 MiB
1, 46766 MiB
2, 47326 MiB
3, 47082 MiB
4, 47328 MiB
5, 47018 MiB
6, 46780 MiB
7, 47318 MiB
0, 900 MiB
1, 46698 MiB
2, 1412 MiB
3, 900 MiB
4, 46698 MiB
5, 1412 MiB
6, 772 MiB
7, 772 MiB
